# Theta(rad) Phi(rad) Memory(strain)
5.416539057913436483e-01 3.088345320478101730e+00 -2.885025677758595850e-26
5.416539057913436483e-01 3.194839986701484502e+00 -2.863568388543461029e-26
5.416539057913436483e-01 3.301334652924867274e+00 -2.695397739946566515e-26
5.416539057913436483e-01 3.407829319148250047e+00 -2.370598333861324631e-26
5.416539057913436483e-01 3.514323985371632819e+00 -1.928796370186845557e-26
5.416539057913436483e-01 3.620818651595015591e+00 -1.380371068268336526e-26
5.416539057913436483e-01 3.727313317818398364e+00 -7.330197390215125475e-27
5.416539057913436483e-01 3.833807984041781136e+00 -3.625559485526971234e-28
5.416539057913436483e-01 3.940302650265163908e+00 6.741662960723116802e-27
5.416539057913436483e-01 4.046797316488547125e+00 1.432327569599830385e-26
5.416539057913436483e-01 4.153291982711929897e+00 2.109618111511284638e-26
5.416539057913436483e-01 4.259786648935312670e+00 2.749245147394158739e-26
5.416539057913436483e-01 4.366281315158695442e+00 3.302694988822018073e-26
5.416539057913436483e-01 4.472775981382078214e+00 3.715279047151741900e-26
5.416539057913436483e-01 4.579270647605460987e+00 3.995233152123864306e-26
5.416539057913436483e-01 4.685765313828843759e+00 4.110386350283362449e-26
5.416539057913436483e-01 4.792259980052226531e+00 4.066724026241549837e-26
5.416539057913436483e-01 4.898754646275609304e+00 3.884706085694034997e-26
5.416539057913436483e-01 5.005249312498992076e+00 3.522192871987378713e-26
5.416539057913436483e-01 5.111743978722374848e+00 3.050568667390242215e-26
5.416539057913436483e-01 5.218238644945757621e+00 2.472830974254448744e-26
5.416539057913436483e-01 5.324733311169140393e+00 1.811671235971610518e-26
5.416539057913436483e-01 5.431227977392523165e+00 1.109177480420244886e-26
5.416539057913436483e-01 5.537722643615905938e+00 3.740538631660136133e-27
5.416539057913436483e-01 5.644217309839288710e+00 -3.488760078013013454e-27
5.416539057913436483e-01 5.750711976062672370e+00 -9.791980600677125969e-27
5.416539057913436483e-01 5.857206642286055143e+00 -1.581136333914461313e-26
5.416539057913436483e-01 5.963701308509437915e+00 -2.084552819544806748e-26
5.416539057913436483e-01 6.070195974732820687e+00 -2.494347974678762196e-26
5.416539057913436483e-01 6.176690640956203460e+00 -2.703422069019784479e-26
5.416539057913436483e-01 6.283185307179586232e+00 -2.780889872893507111e-26
6.499846869496124224e-01 0.000000000000000000e+00 -3.109181846758923906e-26
6.499846869496124224e-01 1.064946662233828140e-01 -3.050991112652381560e-26
6.499846869496124224e-01 2.129893324467656279e-01 -2.828841290713081872e-26
6.499846869496124224e-01 3.194839986701484280e-01 -2.424574059947115104e-26
6.499846869496124224e-01 4.259786648935312559e-01 -1.860124375003978814e-26
6.499846869496124224e-01 5.324733311169140837e-01 -1.181581649544381465e-26
6.499846869496124224e-01 6.389679973402968560e-01 -3.935856681274260948e-27
6.499846869496124224e-01 7.454626635636797394e-01 4.598155938794404410e-27
